Q1-ch_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth
16.0,15.0,4.0,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.567,22.066,5.0,120.0,3.0,1.0,1.0
16.0,15.0,4.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.351,16.25,5.0,94.0,3.0,1.0,2.0
16.0,15.0,4.0,,1.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.674,15.22,5.0,102.0,1.0,1.0,1.0
16.0,15.0,4.0,,1.0,1.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.11,11.423,4.0,96.0,3.0,1.0,1.0
16.0,15.0,4.0,,1.0,1.0,5.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.752,12.444,2.0,100.0,5.0,1.0,1.0
16.0,15.0,4.0,,1.0,1.0,6.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.7,52.062,14.0,131.0,4.0,2.0,2.0
16.0,15.0,4.0,,1.0,1.0,7.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,2.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.058,27.678,8.0,102.0,1.0,1.0,1.0
16.0,15.0,4.0,,1.0,1.0,8.0,0.0,0.0,0.0,0.0,3.0,5.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.27,3.789,1.0,131.0,5.0,1.0,1.0
16.0,15.0,4.0,,1.0,1.0,9.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,1.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.713,5.169,1.0,122.0,4.0,2.0,1.0
16.0,15.0,4.0,,1.0,1.0,10.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,1.0,6.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.34,60.437,13.0,137.0,5.0,1.0,2.0
16.0,15.0,4.0,,1.0,2.0,12.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.813,5.813,2.0,125.0,3.0,1.0,1.0
16.0,15.0,4.0,,1.0,2.0,13.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.621,11.886,2.0,104.0,5.0,1.0,1.0
16.0,15.0,4.0,,1.0,2.0,14.0,0.0,0.0,1.0,0.0,5.0,2.0,2.0,1.0,2.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.721,14.623,5.0,119.0,5.0,1.0,2.0
16.0,15.0,4.0,,1.0,2.0,15.0,0.0,0.0,1.0,0.0,5.0,3.0,2.0,1.0,2.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.647,5.773,1.0,121.0,5.0,1.0,2.0
16.0,15.0,4.0,,1.0,2.0,16.0,0.0,0.0,1.0,0.0,5.0,4.0,2.0,2.0,2.0,8.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33.112,31.987,7.0,115.0,5.0,2.0,2.0
16.0,15.0,4.0,,1.0,3.0,17.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,9.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.872,9.973,3.0,98.0,2.0,1.0,1.0
16.0,15.0,4.0,,1.0,3.0,18.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.402,6.887,1.0,124.0,5.0,1.0,2.0
16.0,15.0,4.0,,1.0,4.0,21.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.181,16.166,1.0,126.0,2.0,1.0,2.0
16.0,15.0,4.0,,1.0,4.0,22.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.465,8.432,3.0,117.0,2.0,1.0,1.0
16.0,15.0,4.0,,1.0,4.0,24.0,0.0,0.0,2.0,1.0,1.0,4.0,2.0,2.0,1.0,12.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.488,3.63,2.0,104.0,3.0,1.0,1.0
16.0,15.0,4.0,,1.0,4.0,25.0,0.0,0.0,2.0,1.0,2.0,4.0,2.0,1.0,2.0,12.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.349,5.324,1.0,117.0,4.0,2.0,1.0
16.0,15.0,4.0,,1.0,5.0,26.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.81,20.189,3.0,121.0,4.0,2.0,1.0
16.0,15.0,4.0,,1.0,5.0,27.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.793,23.209,4.0,99.0,2.0,1.0,1.0
16.0,15.0,4.0,,1.0,5.0,28.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.68,6.379,1.0,118.0,4.0,2.0,1.0
16.0,15.0,4.0,,1.0,5.0,30.0,0.0,0.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.976,10.172,2.0,111.0,4.0,1.0,2.0
16.0,15.0,4.0,,1.0,6.0,32.0,0.0,0.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.53,1.746,1.0,117.0,4.0,1.0,1.0
16.0,15.0,4.0,,1.0,6.0,33.0,0.0,0.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.738,22.929,7.0,100.0,3.0,1.0,1.0
16.0,15.0,4.0,,1.0,6.0,34.0,0.0,0.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,3.812,1.0,113.0,2.0,1.0,2.0
16.0,15.0,4.0,,1.0,6.0,35.0,0.0,0.0,3.0,2.0,1.0,4.0,2.0,2.0,1.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.305,2.987,2.0,94.0,3.0,1.0,1.0
16.0,15.0,4.0,,1.0,6.0,36.0,0.0,0.0,3.0,2.0,2.0,4.0,2.0,1.0,2.0,12.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.763,17.189,3.0,121.0,3.0,1.0,1.0
16.0,15.0,4.0,,1.0,7.0,37.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.355,22.741,4.0,97.0,1.0,1.0,2.0
16.0,15.0,4.0,,1.0,7.0,40.0,0.0,0.0,3.0,3.0,2.0,3.0,1.0,2.0,1.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.386,4.234,1.0,99.0,2.0,1.0,1.0
16.0,15.0,4.0,,1.0,7.0,43.0,0.0,0.0,3.0,3.0,3.0,4.0,1.0,1.0,2.0,21.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.63,22.021,6.0,117.0,3.0,1.0,1.0
16.0,15.0,4.0,,1.0,7.0,44.0,0.0,0.0,3.0,3.0,3.0,5.0,1.0,2.0,1.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,71.107,75.555,17.0,95.0,2.0,1.0,1.0
16.0,15.0,4.0,,1.0,7.0,46.0,0.0,0.0,3.0,3.0,3.0,5.0,1.0,1.0,1.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,30.022,36.577,7.0,131.0,5.0,1.0,1.0
16.0,15.0,4.0,,1.0,7.0,47.0,0.0,0.0,3.0,3.0,3.0,4.0,1.0,2.0,1.0,24.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.113,10.344,3.0,95.0,5.0,1.0,1.0
16.0,15.0,4.0,,1.0,7.0,48.0,0.0,0.0,3.0,3.0,4.0,4.0,1.0,2.0,2.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.791,18.05,4.0,91.0,3.0,1.0,1.0
16.0,15.0,4.0,,1.0,7.0,49.0,0.0,0.0,3.0,3.0,3.0,4.0,1.0,2.0,1.0,25.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.806,5.003,1.0,98.0,1.0,1.0,1.0
16.0,15.0,4.0,,1.0,7.0,50.0,0.0,0.0,3.0,3.0,4.0,4.0,1.0,2.0,2.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.607,53.012,14.0,112.0,5.0,1.0,1.0
16.0,15.0,4.0,,1.0,7.0,51.0,0.0,0.0,3.0,3.0,3.0,4.0,1.0,1.0,2.0,25.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.02,28.208,4.0,127.0,1.0,2.0,1.0
